# ŦаƄȴℯ τᴏ ¢օƞνеɼȶ սηіҫօɗе ƈᴑȡe ρoɨոƭʂ ȶဝ ʈɦℯⅈг ɳeẚɼℯѕŧ ᗅЅСƗІ homoglyph
# Copyright (c) 2011-2026 Cristian Martinez <me-at-martinec.org>
#
# This data is released under the LGPLLR license. You can use it in commercial
# and non-commercial code with attribution. See http://spdx.org/licenses/LGPLLR
#
# Note:
# The rules to convert accented characters to their unaccented version are
# omitted. Unaccented characters can be obtained by removing the Combining
# Diacritical Marks from canonical mappings containg two-codepoints in the
# form <unaccented character> <combining diacritical mark>
#
# Format:
# <code point>;<normalization>;(glyph) (normalization);(glyph name) (normalization)
1D5E6;0053;(𝗦) (S);(MATHEMATICAL SANS-SERIF BOLD CAPITAL S) (LATIN CAPITAL LETTER S)
1D61A;0053;(𝘚) (S);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL S) (LATIN CAPITAL LETTER S)
1D64E;0053;(𝙎) (S);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL S) (LATIN CAPITAL LETTER S)
1D682;0053;(𝚂) (S);(MATHEMATICAL MONOSPACE CAPITAL S) (LATIN CAPITAL LETTER S)
0166;0054;(Ŧ) (T);(LATIN CAPITAL LETTER T WITH STROKE) (LATIN CAPITAL LETTER T)
01AC;0054;(Ƭ) (T);(LATIN CAPITAL LETTER T WITH HOOK) (LATIN CAPITAL LETTER T)
01AE;0054;(Ʈ) (T);(LATIN CAPITAL LETTER T WITH RETROFLEX HOOK) (LATIN CAPITAL LETTER T)
03A4;0054;(Τ) (T);(GREEK CAPITAL LETTER TAU) (LATIN CAPITAL LETTER T)
0422;0054;(Т) (T);(CYRILLIC CAPITAL LETTER TE) (LATIN CAPITAL LETTER T)
04AC;0054;(Ҭ) (T);(CYRILLIC CAPITAL LETTER TE WITH DESCENDER) (LATIN CAPITAL LETTER T)
13A2;0054;(Ꭲ) (T);(CHEROKEE LETTER I) (LATIN CAPITAL LETTER T)
1D40;0054;(ᵀ) (T);(MODIFIER LETTER CAPITAL T) (LATIN CAPITAL LETTER T)
2121;0054 0045 004C;(℡) (TEL);(TELEPHONE SIGN) (LATIN CAPITAL LETTER T  LATIN CAPITAL LETTER E  LATIN CAPITAL LETTER L)
2122;0054 004D;(™) (TM);(TRADE MARK SIGN) (LATIN CAPITAL LETTER T  LATIN CAPITAL LETTER M)
22A4;0054;(⊤) (T);(DOWN TACK) (LATIN CAPITAL LETTER T)
24C9;0054;(Ⓣ) (T);(CIRCLED LATIN CAPITAL LETTER T) (LATIN CAPITAL LETTER T)
27D9;0054;(⟙) (T);(LARGE DOWN TACK) (LATIN CAPITAL LETTER T)
2CA6;0054;(Ⲧ) (T);(COPTIC CAPITAL LETTER TAU) (LATIN CAPITAL LETTER T)
3394;0054 0048 007A;(㎔) (THz);(SQUARE THZ) (LATIN CAPITAL LETTER T  LATIN CAPITAL LETTER H  LATIN SMALL LETTER Z)
A4D4;0054;(ꓔ) (T);(LISU LETTER TA) (LATIN CAPITAL LETTER T)
A728;0054 007A;(Ꜩ) (Tz);(LATIN CAPITAL LETTER TZ) (LATIN CAPITAL LETTER T  LATIN SMALL LETTER Z)
FF34;0054;(Ｔ) (T);(FULLWIDTH LATIN CAPITAL LETTER T) (LATIN CAPITAL LETTER T)
10297;0054;(𐊗) (T);(LYCIAN LETTER T) (LATIN CAPITAL LETTER T)
102B1;0054;(𐊱) (T);(CARIAN LETTER C-18) (LATIN CAPITAL LETTER T)
10315;0054;(𐌕) (T);(OLD ITALIC LETTER TE) (LATIN CAPITAL LETTER T)
118BC;0054;(𑢼) (T);(WARANG CITI CAPITAL LETTER HAR) (LATIN CAPITAL LETTER T)
1D413;0054;(𝐓) (T);(MATHEMATICAL BOLD CAPITAL T) (LATIN CAPITAL LETTER T)
1D447;0054;(𝑇) (T);(MATHEMATICAL ITALIC CAPITAL T) (LATIN CAPITAL LETTER T)
1D47B;0054;(𝑻) (T);(MATHEMATICAL BOLD ITALIC CAPITAL T) (LATIN CAPITAL LETTER T)
1D4AF;0054;(𝒯) (T);(MATHEMATICAL SCRIPT CAPITAL T) (LATIN CAPITAL LETTER T)
1D4E3;0054;(𝓣) (T);(MATHEMATICAL BOLD SCRIPT CAPITAL T) (LATIN CAPITAL LETTER T)
1D517;0054;(𝔗) (T);(MATHEMATICAL FRAKTUR CAPITAL T) (LATIN CAPITAL LETTER T)
1D54B;0054;(𝕋) (T);(MATHEMATICAL DOUBLE-STRUCK CAPITAL T) (LATIN CAPITAL LETTER T)
1D57F;0054;(𝕿) (T);(MATHEMATICAL BOLD FRAKTUR CAPITAL T) (LATIN CAPITAL LETTER T)
1D5B3;0054;(𝖳) (T);(MATHEMATICAL SANS-SERIF CAPITAL T) (LATIN CAPITAL LETTER T)
1D5E7;0054;(𝗧) (T);(MATHEMATICAL SANS-SERIF BOLD CAPITAL T) (LATIN CAPITAL LETTER T)
1D61B;0054;(𝘛) (T);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL T) (LATIN CAPITAL LETTER T)
1D64F;0054;(𝙏) (T);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL T) (LATIN CAPITAL LETTER T)
1D683;0054;(𝚃) (T);(MATHEMATICAL MONOSPACE CAPITAL T) (LATIN CAPITAL LETTER T)
1D6BB;0054;(𝚻) (T);(MATHEMATICAL BOLD CAPITAL TAU) (LATIN CAPITAL LETTER T)
1D6F5;0054;(𝛵) (T);(MATHEMATICAL ITALIC CAPITAL TAU) (LATIN CAPITAL LETTER T)
1D72F;0054;(𝜯) (T);(MATHEMATICAL BOLD ITALIC CAPITAL TAU) (LATIN CAPITAL LETTER T)
1D769;0054;(𝝩) (T);(MATHEMATICAL SANS-SERIF BOLD CAPITAL TAU) (LATIN CAPITAL LETTER T)
1D7A3;0054;(𝞣) (T);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL TAU) (LATIN CAPITAL LETTER T)
1F768;0054;(🝨) (T);(ALCHEMICAL SYMBOL FOR CRUCIBLE-4) (LATIN CAPITAL LETTER T)
054D;0055;(Ս) (U);(ARMENIAN CAPITAL LETTER SEH) (LATIN CAPITAL LETTER U)
1200;0055;(ሀ) (U);(ETHIOPIC SYLLABLE HA) (LATIN CAPITAL LETTER U)
144C;0055;(ᑌ) (U);(CANADIAN SYLLABICS TE) (LATIN CAPITAL LETTER U)
1457;0055;(ᑗ) (U);(CANADIAN SYLLABICS TWE) (LATIN CAPITAL LETTER U)
1458;0055;(ᑘ) (U);(CANADIAN SYLLABICS WEST-CREE TWE) (LATIN CAPITAL LETTER U)
1467;0055;(ᑧ) (U);(CANADIAN SYLLABICS TTE) (LATIN CAPITAL LETTER U)
1D41;0055;(ᵁ) (U);(MODIFIER LETTER CAPITAL U) (LATIN CAPITAL LETTER U)
222A;0055;(∪) (U);(UNION) (LATIN CAPITAL LETTER U)
22C3;0055;(⋃) (U);(N-ARY UNION) (LATIN CAPITAL LETTER U)
24CA;0055;(Ⓤ) (U);(CIRCLED LATIN CAPITAL LETTER U) (LATIN CAPITAL LETTER U)
A4F4;0055;(ꓴ) (U);(LISU LETTER U) (LATIN CAPITAL LETTER U)
FF35;0055;(Ｕ) (U);(FULLWIDTH LATIN CAPITAL LETTER U) (LATIN CAPITAL LETTER U)
118B8;0055;(𑢸) (U);(WARANG CITI CAPITAL LETTER PU) (LATIN CAPITAL LETTER U)
1D414;0055;(𝐔) (U);(MATHEMATICAL BOLD CAPITAL U) (LATIN CAPITAL LETTER U)
1D448;0055;(𝑈) (U);(MATHEMATICAL ITALIC CAPITAL U) (LATIN CAPITAL LETTER U)
1D47C;0055;(𝑼) (U);(MATHEMATICAL BOLD ITALIC CAPITAL U) (LATIN CAPITAL LETTER U)
1D4B0;0055;(𝒰) (U);(MATHEMATICAL SCRIPT CAPITAL U) (LATIN CAPITAL LETTER U)
1D4E4;0055;(𝓤) (U);(MATHEMATICAL BOLD SCRIPT CAPITAL U) (LATIN CAPITAL LETTER U)
1D518;0055;(𝔘) (U);(MATHEMATICAL FRAKTUR CAPITAL U) (LATIN CAPITAL LETTER U)
1D54C;0055;(𝕌) (U);(MATHEMATICAL DOUBLE-STRUCK CAPITAL U) (LATIN CAPITAL LETTER U)
1D580;0055;(𝖀) (U);(MATHEMATICAL BOLD FRAKTUR CAPITAL U) (LATIN CAPITAL LETTER U)
1D5B4;0055;(𝖴) (U);(MATHEMATICAL SANS-SERIF CAPITAL U) (LATIN CAPITAL LETTER U)
1D5E8;0055;(𝗨) (U);(MATHEMATICAL SANS-SERIF BOLD CAPITAL U) (LATIN CAPITAL LETTER U)
1D61C;0055;(𝘜) (U);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL U) (LATIN CAPITAL LETTER U)
1D650;0055;(𝙐) (U);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL U) (LATIN CAPITAL LETTER U)
1D684;0055;(𝚄) (U);(MATHEMATICAL MONOSPACE CAPITAL U) (LATIN CAPITAL LETTER U)
01B2;0056;(Ʋ) (V);(LATIN CAPITAL LETTER V WITH HOOK) (LATIN CAPITAL LETTER V)
0474;0056;(Ѵ) (V);(CYRILLIC CAPITAL LETTER IZHITSA) (LATIN CAPITAL LETTER V)
0667;0056;(٧) (V);(ARABIC-INDIC DIGIT SEVEN) (LATIN CAPITAL LETTER V)
06F7;0056;(۷) (V);(EXTENDED ARABIC-INDIC DIGIT SEVEN) (LATIN CAPITAL LETTER V)
13D9;0056;(Ꮩ) (V);(CHEROKEE LETTER DO) (LATIN CAPITAL LETTER V)
142F;0056;(ᐯ) (V);(CANADIAN SYLLABICS PE) (LATIN CAPITAL LETTER V)
2164;0056;(Ⅴ) (V);(ROMAN NUMERAL FIVE) (LATIN CAPITAL LETTER V)
2165;0056 0049;(Ⅵ) (VI);(ROMAN NUMERAL SIX) (LATIN CAPITAL LETTER V  LATIN CAPITAL LETTER I)
2166;0056 0049 0049;(Ⅶ) (VII);(ROMAN NUMERAL SEVEN) (LATIN CAPITAL LETTER V  LATIN CAPITAL LETTER I  LATIN CAPITAL LETTER I)
2167;0056 0049 0049 0049;(Ⅷ) (VIII);(ROMAN NUMERAL EIGHT) (LATIN CAPITAL LETTER V  LATIN CAPITAL LETTER I  LATIN CAPITAL LETTER I  LATIN CAPITAL LETTER I)
24CB;0056;(Ⓥ) (V);(CIRCLED LATIN CAPITAL LETTER V) (LATIN CAPITAL LETTER V)
2D38;0056;(ⴸ) (V);(TIFINAGH LETTER YADH) (LATIN CAPITAL LETTER V)
33DE;0056 002F 006D;(㏞) (V/m);(SQUARE V OVER M) (LATIN CAPITAL LETTER V  SOLIDUS  LATIN SMALL LETTER M)
A4E6;0056;(ꓦ) (V);(LISU LETTER HA) (LATIN CAPITAL LETTER V)
A6DF;0056;(ꛟ) (V);(BAMUM LETTER KO) (LATIN CAPITAL LETTER V)
FF36;0056;(Ｖ) (V);(FULLWIDTH LATIN CAPITAL LETTER V) (LATIN CAPITAL LETTER V)
1051D;0056;(𐔝) (V);(ELBASAN LETTER TE) (LATIN CAPITAL LETTER V)
118A0;0056;(𑢠) (V);(WARANG CITI CAPITAL LETTER NGAA) (LATIN CAPITAL LETTER V)
1D20D;0056;(𝈍) (V);(GREEK VOCAL NOTATION SYMBOL-14) (LATIN CAPITAL LETTER V)
1D415;0056;(𝐕) (V);(MATHEMATICAL BOLD CAPITAL V) (LATIN CAPITAL LETTER V)
1D449;0056;(𝑉) (V);(MATHEMATICAL ITALIC CAPITAL V) (LATIN CAPITAL LETTER V)
1D47D;0056;(𝑽) (V);(MATHEMATICAL BOLD ITALIC CAPITAL V) (LATIN CAPITAL LETTER V)
1D4B1;0056;(𝒱) (V);(MATHEMATICAL SCRIPT CAPITAL V) (LATIN CAPITAL LETTER V)
1D4E5;0056;(𝓥) (V);(MATHEMATICAL BOLD SCRIPT CAPITAL V) (LATIN CAPITAL LETTER V)
1D519;0056;(𝔙) (V);(MATHEMATICAL FRAKTUR CAPITAL V) (LATIN CAPITAL LETTER V)
1D54D;0056;(𝕍) (V);(MATHEMATICAL DOUBLE-STRUCK CAPITAL V) (LATIN CAPITAL LETTER V)
1D581;0056;(𝖁) (V);(MATHEMATICAL BOLD FRAKTUR CAPITAL V) (LATIN CAPITAL LETTER V)
1D5B5;0056;(𝖵) (V);(MATHEMATICAL SANS-SERIF CAPITAL V) (LATIN CAPITAL LETTER V)
1D5E9;0056;(𝗩) (V);(MATHEMATICAL SANS-SERIF BOLD CAPITAL V) (LATIN CAPITAL LETTER V)
1D61D;0056;(𝘝) (V);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL V) (LATIN CAPITAL LETTER V)
1D651;0056;(𝙑) (V);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL V) (LATIN CAPITAL LETTER V)
1D685;0056;(𝚅) (V);(MATHEMATICAL MONOSPACE CAPITAL V) (LATIN CAPITAL LETTER V)
051C;0057;(Ԝ) (W);(CYRILLIC CAPITAL LETTER WE) (LATIN CAPITAL LETTER W)
13B3;0057;(Ꮃ) (W);(CHEROKEE LETTER LA) (LATIN CAPITAL LETTER W)
13D4;0057;(Ꮤ) (W);(CHEROKEE LETTER TA) (LATIN CAPITAL LETTER W)
1D42;0057;(ᵂ) (W);(MODIFIER LETTER CAPITAL W) (LATIN CAPITAL LETTER W)
20A9;0057;(₩) (W);(WON SIGN) (LATIN CAPITAL LETTER W)
24CC;0057;(Ⓦ) (W);(CIRCLED LATIN CAPITAL LETTER W) (LATIN CAPITAL LETTER W)
33DD;0057 0062;(㏝) (Wb);(SQUARE WB) (LATIN CAPITAL LETTER W  LATIN SMALL LETTER B)
A4EA;0057;(ꓪ) (W);(LISU LETTER WA) (LATIN CAPITAL LETTER W)
FF37;0057;(Ｗ) (W);(FULLWIDTH LATIN CAPITAL LETTER W) (LATIN CAPITAL LETTER W)
118E6;0057;(𑣦) (W);(WARANG CITI DIGIT SIX) (LATIN CAPITAL LETTER W)
118EF;0057;(𑣯) (W);(WARANG CITI NUMBER SIXTY) (LATIN CAPITAL LETTER W)
1D416;0057;(𝐖) (W);(MATHEMATICAL BOLD CAPITAL W) (LATIN CAPITAL LETTER W)
1D44A;0057;(𝑊) (W);(MATHEMATICAL ITALIC CAPITAL W) (LATIN CAPITAL LETTER W)
1D47E;0057;(𝑾) (W);(MATHEMATICAL BOLD ITALIC CAPITAL W) (LATIN CAPITAL LETTER W)
1D4B2;0057;(𝒲) (W);(MATHEMATICAL SCRIPT CAPITAL W) (LATIN CAPITAL LETTER W)
1D4E6;0057;(𝓦) (W);(MATHEMATICAL BOLD SCRIPT CAPITAL W) (LATIN CAPITAL LETTER W)
1D51A;0057;(𝔚) (W);(MATHEMATICAL FRAKTUR CAPITAL W) (LATIN CAPITAL LETTER W)
1D54E;0057;(𝕎) (W);(MATHEMATICAL DOUBLE-STRUCK CAPITAL W) (LATIN CAPITAL LETTER W)
1D582;0057;(𝖂) (W);(MATHEMATICAL BOLD FRAKTUR CAPITAL W) (LATIN CAPITAL LETTER W)
1D5B6;0057;(𝖶) (W);(MATHEMATICAL SANS-SERIF CAPITAL W) (LATIN CAPITAL LETTER W)
1D5EA;0057;(𝗪) (W);(MATHEMATICAL SANS-SERIF BOLD CAPITAL W) (LATIN CAPITAL LETTER W)
1D61E;0057;(𝘞) (W);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL W) (LATIN CAPITAL LETTER W)
1D652;0057;(𝙒) (W);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL W) (LATIN CAPITAL LETTER W)
1D686;0057;(𝚆) (W);(MATHEMATICAL MONOSPACE CAPITAL W) (LATIN CAPITAL LETTER W)
03A7;0058;(Χ) (X);(GREEK CAPITAL LETTER CHI) (LATIN CAPITAL LETTER X)
0425;0058;(Х) (X);(CYRILLIC CAPITAL LETTER HA) (LATIN CAPITAL LETTER X)
04B2;0058;(Ҳ) (X);(CYRILLIC CAPITAL LETTER HA WITH DESCENDER) (LATIN CAPITAL LETTER X)
166D;0058;(᙭) (X);(CANADIAN SYLLABICS CHI SIGN) (LATIN CAPITAL LETTER X)
16B7;0058;(ᚷ) (X);(RUNIC LETTER GEBO GYFU G) (LATIN CAPITAL LETTER X)
2169;0058;(Ⅹ) (X);(ROMAN NUMERAL TEN) (LATIN CAPITAL LETTER X)
216A;0058 0049;(Ⅺ) (XI);(ROMAN NUMERAL ELEVEN) (LATIN CAPITAL LETTER X  LATIN CAPITAL LETTER I)
216B;0058 0049 0049;(Ⅻ) (XII);(ROMAN NUMERAL TWELVE) (LATIN CAPITAL LETTER X  LATIN CAPITAL LETTER I  LATIN CAPITAL LETTER I)
24CD;0058;(Ⓧ) (X);(CIRCLED LATIN CAPITAL LETTER X) (LATIN CAPITAL LETTER X)
2CAC;0058;(Ⲭ) (X);(COPTIC CAPITAL LETTER KHI) (LATIN CAPITAL LETTER X)
2D5D;0058;(ⵝ) (X);(TIFINAGH LETTER YATH) (LATIN CAPITAL LETTER X)
A4EB;0058;(ꓫ) (X);(LISU LETTER SHA) (LATIN CAPITAL LETTER X)
A7B3;0058;(Ꭓ) (X);(LATIN CAPITAL LETTER CHI) (LATIN CAPITAL LETTER X)
FF38;0058;(Ｘ) (X);(FULLWIDTH LATIN CAPITAL LETTER X) (LATIN CAPITAL LETTER X)
10290;0058;(𐊐) (X);(LYCIAN LETTER MM) (LATIN CAPITAL LETTER X)
102B4;0058;(𐊴) (X);(CARIAN LETTER X) (LATIN CAPITAL LETTER X)
10317;0058;(𐌗) (X);(OLD ITALIC LETTER EKS) (LATIN CAPITAL LETTER X)
10322;0058;(𐌢) (X);(OLD ITALIC NUMERAL TEN) (LATIN CAPITAL LETTER X)
10527;0058;(𐔧) (X);(ELBASAN LETTER KHE) (LATIN CAPITAL LETTER X)
118EC;0058;(𑣬) (X);(WARANG CITI NUMBER THIRTY) (LATIN CAPITAL LETTER X)
1D417;0058;(𝐗) (X);(MATHEMATICAL BOLD CAPITAL X) (LATIN CAPITAL LETTER X)
1D44B;0058;(𝑋) (X);(MATHEMATICAL ITALIC CAPITAL X) (LATIN CAPITAL LETTER X)
1D47F;0058;(𝑿) (X);(MATHEMATICAL BOLD ITALIC CAPITAL X) (LATIN CAPITAL LETTER X)
1D4B3;0058;(𝒳) (X);(MATHEMATICAL SCRIPT CAPITAL X) (LATIN CAPITAL LETTER X)
1D4E7;0058;(𝓧) (X);(MATHEMATICAL BOLD SCRIPT CAPITAL X) (LATIN CAPITAL LETTER X)
1D51B;0058;(𝔛) (X);(MATHEMATICAL FRAKTUR CAPITAL X) (LATIN CAPITAL LETTER X)
1D54F;0058;(𝕏) (X);(MATHEMATICAL DOUBLE-STRUCK CAPITAL X) (LATIN CAPITAL LETTER X)
1D583;0058;(𝖃) (X);(MATHEMATICAL BOLD FRAKTUR CAPITAL X) (LATIN CAPITAL LETTER X)
1D5B7;0058;(𝖷) (X);(MATHEMATICAL SANS-SERIF CAPITAL X) (LATIN CAPITAL LETTER X)
1D5EB;0058;(𝗫) (X);(MATHEMATICAL SANS-SERIF BOLD CAPITAL X) (LATIN CAPITAL LETTER X)
1D61F;0058;(𝘟) (X);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL X) (LATIN CAPITAL LETTER X)
1D653;0058;(𝙓) (X);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL X) (LATIN CAPITAL LETTER X)
1D687;0058;(𝚇) (X);(MATHEMATICAL MONOSPACE CAPITAL X) (LATIN CAPITAL LETTER X)
1D6BE;0058;(𝚾) (X);(MATHEMATICAL BOLD CAPITAL CHI) (LATIN CAPITAL LETTER X)
1D6F8;0058;(𝛸) (X);(MATHEMATICAL ITALIC CAPITAL CHI) (LATIN CAPITAL LETTER X)
1D732;0058;(𝜲) (X);(MATHEMATICAL BOLD ITALIC CAPITAL CHI) (LATIN CAPITAL LETTER X)
1D76C;0058;(𝝬) (X);(MATHEMATICAL SANS-SERIF BOLD CAPITAL CHI) (LATIN CAPITAL LETTER X)
1D7A6;0058;(𝞦) (X);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL CHI) (LATIN CAPITAL LETTER X)
00A5;0059;(¥) (Y);(YEN SIGN) (LATIN CAPITAL LETTER Y)
01B3;0059;(Ƴ) (Y);(LATIN CAPITAL LETTER Y WITH HOOK) (LATIN CAPITAL LETTER Y)
03A5;0059;(Υ) (Y);(GREEK CAPITAL LETTER UPSILON) (LATIN CAPITAL LETTER Y)
03D2;0059;(ϒ) (Y);(GREEK UPSILON WITH HOOK SYMBOL) (LATIN CAPITAL LETTER Y)
04AE;0059;(Ү) (Y);(CYRILLIC CAPITAL LETTER STRAIGHT U) (LATIN CAPITAL LETTER Y)
04B0;0059;(Ұ) (Y);(CYRILLIC CAPITAL LETTER STRAIGHT U WITH STROKE) (LATIN CAPITAL LETTER Y)
13A9;0059;(Ꭹ) (Y);(CHEROKEE LETTER GI) (LATIN CAPITAL LETTER Y)
13BD;0059;(Ꮍ) (Y);(CHEROKEE LETTER MU) (LATIN CAPITAL LETTER Y)
24CE;0059;(Ⓨ) (Y);(CIRCLED LATIN CAPITAL LETTER Y) (LATIN CAPITAL LETTER Y)
2CA8;0059;(Ⲩ) (Y);(COPTIC CAPITAL LETTER UA) (LATIN CAPITAL LETTER Y)
A4EC;0059;(ꓬ) (Y);(LISU LETTER YA) (LATIN CAPITAL LETTER Y)
FF39;0059;(Ｙ) (Y);(FULLWIDTH LATIN CAPITAL LETTER Y) (LATIN CAPITAL LETTER Y)
102B2;0059;(𐊲) (Y);(CARIAN LETTER U) (LATIN CAPITAL LETTER Y)
118A4;0059;(𑢤) (Y);(WARANG CITI CAPITAL LETTER YA) (LATIN CAPITAL LETTER Y)
1D418;0059;(𝐘) (Y);(MATHEMATICAL BOLD CAPITAL Y) (LATIN CAPITAL LETTER Y)
1D44C;0059;(𝑌) (Y);(MATHEMATICAL ITALIC CAPITAL Y) (LATIN CAPITAL LETTER Y)
1D480;0059;(𝒀) (Y);(MATHEMATICAL BOLD ITALIC CAPITAL Y) (LATIN CAPITAL LETTER Y)
1D4B4;0059;(𝒴) (Y);(MATHEMATICAL SCRIPT CAPITAL Y) (LATIN CAPITAL LETTER Y)
1D4E8;0059;(𝓨) (Y);(MATHEMATICAL BOLD SCRIPT CAPITAL Y) (LATIN CAPITAL LETTER Y)
1D51C;0059;(𝔜) (Y);(MATHEMATICAL FRAKTUR CAPITAL Y) (LATIN CAPITAL LETTER Y)
1D550;0059;(𝕐) (Y);(MATHEMATICAL DOUBLE-STRUCK CAPITAL Y) (LATIN CAPITAL LETTER Y)
1D584;0059;(𝖄) (Y);(MATHEMATICAL BOLD FRAKTUR CAPITAL Y) (LATIN CAPITAL LETTER Y)
1D5B8;0059;(𝖸) (Y);(MATHEMATICAL SANS-SERIF CAPITAL Y) (LATIN CAPITAL LETTER Y)
1D5EC;0059;(𝗬) (Y);(MATHEMATICAL SANS-SERIF BOLD CAPITAL Y) (LATIN CAPITAL LETTER Y)
1D620;0059;(𝘠) (Y);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL Y) (LATIN CAPITAL LETTER Y)
1D654;0059;(𝙔) (Y);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL Y) (LATIN CAPITAL LETTER Y)
1D688;0059;(𝚈) (Y);(MATHEMATICAL MONOSPACE CAPITAL Y) (LATIN CAPITAL LETTER Y)
1D6BC;0059;(𝚼) (Y);(MATHEMATICAL BOLD CAPITAL UPSILON) (LATIN CAPITAL LETTER Y)
1D6F6;0059;(𝛶) (Y);(MATHEMATICAL ITALIC CAPITAL UPSILON) (LATIN CAPITAL LETTER Y)
1D730;0059;(𝜰) (Y);(MATHEMATICAL BOLD ITALIC CAPITAL UPSILON) (LATIN CAPITAL LETTER Y)
1D76A;0059;(𝝪) (Y);(MATHEMATICAL SANS-SERIF BOLD CAPITAL UPSILON) (LATIN CAPITAL LETTER Y)
1D7A4;0059;(𝞤) (Y);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL UPSILON) (LATIN CAPITAL LETTER Y)
01B5;005A;(Ƶ) (Z);(LATIN CAPITAL LETTER Z WITH STROKE) (LATIN CAPITAL LETTER Z)
0224;005A;(Ȥ) (Z);(LATIN CAPITAL LETTER Z WITH HOOK) (LATIN CAPITAL LETTER Z)
0396;005A;(Ζ) (Z);(GREEK CAPITAL LETTER ZETA) (LATIN CAPITAL LETTER Z)
13C3;005A;(Ꮓ) (Z);(CHEROKEE LETTER NO) (LATIN CAPITAL LETTER Z)
2124;005A;(ℤ) (Z);(DOUBLE-STRUCK CAPITAL Z) (LATIN CAPITAL LETTER Z)
2128;005A;(ℨ) (Z);(BLACK-LETTER CAPITAL Z) (LATIN CAPITAL LETTER Z)
24CF;005A;(Ⓩ) (Z);(CIRCLED LATIN CAPITAL LETTER Z) (LATIN CAPITAL LETTER Z)
A4DC;005A;(ꓜ) (Z);(LISU LETTER DZA) (LATIN CAPITAL LETTER Z)
FF3A;005A;(Ｚ) (Z);(FULLWIDTH LATIN CAPITAL LETTER Z) (LATIN CAPITAL LETTER Z)
102F5;005A;(𐋵) (Z);(COPTIC EPACT NUMBER THREE HUNDRED) (LATIN CAPITAL LETTER Z)
118A9;005A;(𑢩) (Z);(WARANG CITI CAPITAL LETTER O) (LATIN CAPITAL LETTER Z)
118E5;005A;(𑣥) (Z);(WARANG CITI DIGIT FIVE) (LATIN CAPITAL LETTER Z)
1D419;005A;(𝐙) (Z);(MATHEMATICAL BOLD CAPITAL Z) (LATIN CAPITAL LETTER Z)
1D44D;005A;(𝑍) (Z);(MATHEMATICAL ITALIC CAPITAL Z) (LATIN CAPITAL LETTER Z)
1D481;005A;(𝒁) (Z);(MATHEMATICAL BOLD ITALIC CAPITAL Z) (LATIN CAPITAL LETTER Z)
1D4B5;005A;(𝒵) (Z);(MATHEMATICAL SCRIPT CAPITAL Z) (LATIN CAPITAL LETTER Z)
1D4E9;005A;(𝓩) (Z);(MATHEMATICAL BOLD SCRIPT CAPITAL Z) (LATIN CAPITAL LETTER Z)
1D585;005A;(𝖅) (Z);(MATHEMATICAL BOLD FRAKTUR CAPITAL Z) (LATIN CAPITAL LETTER Z)
1D5B9;005A;(𝖹) (Z);(MATHEMATICAL SANS-SERIF CAPITAL Z) (LATIN CAPITAL LETTER Z)
1D5ED;005A;(𝗭) (Z);(MATHEMATICAL SANS-SERIF BOLD CAPITAL Z) (LATIN CAPITAL LETTER Z)
1D621;005A;(𝘡) (Z);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL Z) (LATIN CAPITAL LETTER Z)
1D655;005A;(𝙕) (Z);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL Z) (LATIN CAPITAL LETTER Z)
1D689;005A;(𝚉) (Z);(MATHEMATICAL MONOSPACE CAPITAL Z) (LATIN CAPITAL LETTER Z)
1D6AD;005A;(𝚭) (Z);(MATHEMATICAL BOLD CAPITAL ZETA) (LATIN CAPITAL LETTER Z)
1D6E7;005A;(𝛧) (Z);(MATHEMATICAL ITALIC CAPITAL ZETA) (LATIN CAPITAL LETTER Z)
1D721;005A;(𝜡) (Z);(MATHEMATICAL BOLD ITALIC CAPITAL ZETA) (LATIN CAPITAL LETTER Z)
1D75B;005A;(𝝛) (Z);(MATHEMATICAL SANS-SERIF BOLD CAPITAL ZETA) (LATIN CAPITAL LETTER Z)
1D795;005A;(𝞕) (Z);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL ZETA) (LATIN CAPITAL LETTER Z)
2045;005B;(⁅) ([);(LEFT SQUARE BRACKET WITH QUILL) (LEFT SQUARE BRACKET)
